iter	Logloss
0	0.655420832
1	0.6207419515
2	0.5883076025
3	0.5582443225
4	0.529803917
5	0.5032731699
6	0.4788921157
7	0.4557248414
8	0.4342462617
9	0.4143714085
10	0.3960081491
11	0.3789071971
12	0.362783315
13	0.3479455014
14	0.3338884572
15	0.320975739
16	0.3089798115
17	0.297796146
18	0.287204088
19	0.2774791592
20	0.2682992433
21	0.2598146131
22	0.2516962972
23	0.2441180718
24	0.2370306879
25	0.2304120852
26	0.2242650212
27	0.2184531912
28	0.2131214044
29	0.2082383487
30	0.2035655486
31	0.1992782883
32	0.1951011877
33	0.1912534709
34	0.1876551307
35	0.1842451407
36	0.181103482
37	0.1779732788
38	0.1751651403
39	0.1726327942
40	0.1701433574
41	0.1677415818
42	0.1655360424
43	0.163522796
44	0.1614902984
45	0.1596598097
46	0.1579274326
47	0.1562450261
48	0.1547292187
49	0.1531818284
50	0.1518734676
51	0.1505539865
52	0.1493453738
53	0.148202259
54	0.1471268069
55	0.1460942255
56	0.1451315618
57	0.1442354011
58	0.1433873685
59	0.1425444901
60	0.1417710141
61	0.1410426121
62	0.1403739224
63	0.1397169845
64	0.139141948
65	0.1385325969
66	0.1379923259
67	0.1374447488
68	0.1369416272
69	0.1364851776
70	0.1360338179
71	0.1356029078
72	0.1351708121
73	0.1347665882
74	0.1343782781
75	0.1339977896
76	0.1336584709
77	0.1333498201
78	0.1330543514
79	0.1327787524
80	0.1324750626
81	0.1322044375
82	0.1319594162
83	0.1317335688
84	0.1314809965
85	0.1312709856
86	0.131055421
87	0.1308504098
88	0.1306747521
89	0.1304804618
90	0.1303255501
91	0.1301637703
92	0.1299994134
93	0.1298358555
94	0.1297007362
95	0.1295769821
96	0.1294506379
97	0.1293288682
98	0.1292029622
99	0.1291013457
100	0.1289936472
101	0.1288967597
102	0.1288120363
103	0.1286987067
104	0.128594977
105	0.1285227785
106	0.1284524871
107	0.1283779949
108	0.1282826151
109	0.1281963712
110	0.1281310408
111	0.1280545772
112	0.1279838863
113	0.127913247
114	0.1278496948
115	0.1277956136
116	0.1277496632
117	0.1276866007
118	0.1276279837
119	0.1275831544
120	0.1275349877
121	0.1274910604
122	0.1274509473
123	0.1274002679
124	0.1273696773
125	0.1273361101
126	0.1272978009
127	0.1272571466
128	0.127211673
129	0.1271746525
130	0.1271379025
131	0.1271056367
132	0.1270688223
133	0.1270391079
134	0.1270021389
135	0.1269772438
136	0.126949604
137	0.1269268736
138	0.1269004838
139	0.1268807815
140	0.1268587728
141	0.1268405524
142	0.1268206441
143	0.1267987899
144	0.1267811752
145	0.1267628904
146	0.1267412038
147	0.126722468
148	0.1266867747
149	0.1266676394
150	0.1266522282
151	0.1266394327
152	0.1266226169
153	0.1266055562
154	0.1265882121
155	0.1265552376
156	0.1265437307
157	0.1265285643
158	0.126514171
159	0.1264992364
160	0.1264721894
161	0.1264558246
162	0.1264432481
163	0.1264278498
164	0.1264203632
165	0.1264027098
166	0.1263912544
167	0.1263663077
168	0.1263543756
169	0.1263392993
170	0.1263302536
171	0.1263098298
172	0.1263020597
173	0.1262797546
174	0.1262599364
175	0.1262468446
176	0.1262384044
177	0.1262271681
178	0.1262155066
179	0.1262067701
180	0.1262004432
181	0.1261874544
182	0.126170368
183	0.1261546475
184	0.1261453827
185	0.1261295075
186	0.1261148307
187	0.1261022801
188	0.1260972289
189	0.1260891109
190	0.1260800651
191	0.12607388
192	0.1260609943
193	0.1260481988
194	0.1260401582
195	0.12603195
196	0.1260223759
197	0.1260151213
198	0.1259964886
199	0.1259908447
200	0.125984492
201	0.1259759359
202	0.1259707817
203	0.1259616973
204	0.1259490693
205	0.1259447526
206	0.1259392504
207	0.1259264163
208	0.1259181694
209	0.1259135821
210	0.1259077964
211	0.1259011474
212	0.1258916507
213	0.1258833008
214	0.125872
215	0.1258661112
216	0.1258545914
217	0.1258455844
218	0.1258416156
219	0.1258361391
220	0.1258228411
221	0.1258166302
222	0.125807971
223	0.1258025333
224	0.1257978816
225	0.1257916578
226	0.125787006
227	0.125774945
228	0.125763
229	0.125757253
230	0.1257458105
231	0.1257386203
232	0.1257346386
233	0.1257256058
234	0.1257106197
235	0.1257075916
236	0.1256989195
237	0.1256945641
238	0.1256891135
239	0.125686691
240	0.1256800806
241	0.1256730966
242	0.1256679165
243	0.1256619762
244	0.1256552757
245	0.125649722
246	0.1256473123
247	0.1256423513
248	0.1256360245
249	0.1256262829
250	0.1256175335
251	0.1256122117
252	0.125606542
253	0.1255995193
254	0.1255955892
255	0.1255923807
256	0.1255875872
257	0.1255774848
258	0.1255728975
259	0.1255684262
260	0.1255664933
261	0.1255644316
262	0.1255632075
263	0.1255597026
264	0.1255544452
265	0.125550979
266	0.1255480926
267	0.1255463015
268	0.1255402323
269	0.1255375779
270	0.1255326813
271	0.1255267152
272	0.1255197569
273	0.1255154402
274	0.1255129404
275	0.1255053379
276	0.1254999001
277	0.1254904291
278	0.12548177
279	0.1254800046
280	0.1254752111
281	0.1254689745
282	0.1254668097
283	0.1254631115
284	0.1254604957
285	0.1254563078
286	0.1254521587
287	0.1254493367
288	0.1254468884
289	0.1254451617
290	0.125440961
291	0.1254380102
292	0.1254326755
293	0.1254247766
294	0.1254154731
295	0.1254109373
296	0.1254088628
297	0.1254045976
298	0.1254004742
299	0.1253930907
300	0.1253899852
301	0.1253845217
302	0.1253825502
303	0.1253807591
304	0.1253774346
305	0.1253747415
306	0.1253712108
307	0.1253676801
308	0.1253616367
309	0.1253576035
310	0.1253560572
311	0.1253484418
312	0.1253438545
313	0.1253414062
314	0.125332979
315	0.1253281597
316	0.125325647
317	0.1253227477
318	0.1253215365
319	0.125319668
320	0.1253181218
321	0.1253145911
322	0.125309759
323	0.1253042568
324	0.1252993989
325	0.1252949662
326	0.1252928658
327	0.1252895155
328	0.1252881754
329	0.1252862941
330	0.1252807791
331	0.1252760242
332	0.1252731894
333	0.125270522
334	0.1252662053
335	0.1252626489
336	0.1252566184
337	0.1252539253
338	0.1252516188
