iter	Passed	Remaining
0	31	30997
1	61	30871
2	93	31209
3	124	31003
4	161	32189
5	195	32406
6	225	32024
7	259	32133
8	277	30571
9	293	29101
10	310	27940
11	326	26922
12	344	26189
13	361	25455
14	380	24999
15	398	24490
16	412	23874
17	428	23377
18	445	22995
19	462	22644
20	479	22338
21	495	22048
22	513	21829
23	531	21595
24	554	21620
25	573	21475
26	590	21297
27	610	21197
28	628	21059
29	644	20854
30	661	20687
31	677	20499
32	698	20459
33	713	20283
34	732	20195
35	751	20115
36	771	20073
37	797	20177
38	819	20188
39	835	20048
40	859	20101
41	878	20047
42	900	20038
43	919	19982
44	942	19994
45	961	19930
46	984	19963
47	1008	20003
48	1030	19992
49	1053	20022
50	1071	19941
51	1096	19991
52	1115	19924
53	1135	19898
54	1157	19892
55	1182	19929
56	1202	19895
57	1224	19886
58	1242	19823
59	1263	19792
60	1285	19780
61	1305	19746
62	1324	19693
63	1346	19691
64	1363	19618
65	1385	19607
66	1403	19541
67	1425	19542
68	1446	19516
69	1467	19500
70	1488	19479
71	1512	19490
72	1534	19490
73	1554	19448
74	1578	19465
75	1599	19449
76	1623	19455
77	1641	19398
78	1659	19352
79	1678	19299
80	1700	19298
81	1720	19263
82	1745	19287
83	1764	19243
84	1788	19252
85	1812	19258
86	1832	19234
87	1853	19205
88	1877	19221
89	1900	19213
90	1920	19182
91	1947	19224
92	1970	19216
93	1991	19198
94	2012	19169
95	2030	19119
96	2051	19094
97	2076	19112
98	2096	19079
99	2115	19039
100	2136	19016
101	2158	18999
102	2176	18957
103	2199	18948
104	2220	18927
105	2241	18901
106	2263	18890
107	2285	18878
108	2308	18866
109	2331	18861
110	2353	18847
111	2374	18822
112	2394	18799
113	2417	18789
114	2443	18800
115	2460	18748
116	2482	18733
117	2506	18732
118	2526	18702
119	2545	18664
120	2567	18653
121	2586	18617
122	2606	18587
123	2627	18562
124	2649	18544
125	2669	18516
126	2691	18503
127	2717	18514
128	2739	18498
129	2762	18490
130	2783	18467
131	2807	18463
132	2829	18446
133	2849	18413
134	2870	18392
135	2889	18356
136	2907	18316
137	2927	18285
138	2950	18274
139	2969	18242
140	2993	18239
141	3012	18204
142	3031	18168
143	3050	18130
144	3068	18096
145	3090	18075
146	3116	18085
147	3136	18054
148	3160	18049
149	3179	18019
150	3206	18026
151	3225	17997
152	3250	17997
153	3269	17962
154	3291	17946
155	3315	17935
156	3333	17898
157	3352	17868
158	3373	17844
159	3394	17820
160	3419	17818
161	3438	17786
162	3460	17771
163	3483	17756
164	3499	17711
165	3521	17693
166	3542	17671
167	3563	17648
168	3588	17642
169	3613	17642
170	3632	17610
171	3655	17595
172	3675	17570
173	3698	17556
174	3718	17532
175	3741	17518
176	3763	17500
177	3783	17472
178	3805	17455
179	3822	17415
180	3841	17382
181	3865	17372
182	3885	17346
183	3905	17321
184	3922	17278
185	3941	17250
186	3962	17227
187	3982	17202
188	3999	17162
189	4018	17132
190	4040	17114
191	4059	17084
192	4080	17060
193	4104	17051
194	4126	17034
195	4145	17004
196	4166	16982
197	4184	16947
198	4206	16932
199	4225	16901
200	4244	16872
201	4267	16856
